ticker,model,rmse,mae,dir_acc,pred_std,pred_std_ratio,rmse_vs_naive_pct
A,Naive,0.04038006329821706,0.031418921514538095,0.0,0.0,0.0,0.0
A,Ridge,0.04126478270029074,0.032267825346696234,0.49007314524555906,0.005856906850215435,0.14510037868672795,-2.190980721203433
A,Huber,0.04071315668046699,0.03187437783030922,0.48380355276907,0.004247548964861412,0.10522977043234691,-0.8248956416683803
A,RandomForest,0.04165000485106294,0.032785468674860326,0.4608150470219436,0.005248069260996248,0.1300168940055316,-3.1449716744301135
A,HistGradientBoosting,0.0440675467983352,0.035207652110812226,0.45454545454545453,0.011015196358834418,0.2728930481311565,-9.131940861224347
A,XGBoost,0.04291545289477876,0.033669150529312894,0.4587251828631139,0.010056342795491746,0.24913818593097956,-6.278815310013746
A,LSTM(SmoothL1),0.04117687619793423,0.03223784305557059,0.47126436781609193,0.003007015893572971,0.07449651429207868,-1.9732829387425752
AA,Naive,0.0789465308752332,0.059292047612897476,0.0,0.0,0.0,0.0
AA,Ridge,0.07923911348965204,0.05925202812664646,0.5188916876574308,0.006939311689778975,0.08799291074107476,-0.37060857668493535
AA,Huber,0.0792669149188727,0.05928548579801772,0.5109151973131822,0.007200460536017401,0.09130436988060858,-0.40582409396281327
AA,RandomForest,0.07875149735163126,0.05916639838994135,0.5201511335012594,0.004895082810567294,0.06207137019869713,0.24704508410911802
AA,HistGradientBoosting,0.07890829213317439,0.05928315493934587,0.5037783375314862,0.0048427427973299925,0.06140768043826165,0.04843625379720045
AA,XGBoost,0.07918996725460403,0.059491012412989826,0.5142737195633921,0.010103098484818563,0.12811083907534396,-0.3083560185254397
AA,LSTM(SmoothL1),0.07906667835735097,0.05931049117440066,0.5138539042821159,0.002984757450650475,0.03784777333545748,-0.1521884252363717
AACG,Naive,0.09476238800002952,0.06598130936055402,0.0,0.0,0.0,0.0
AACG,Ridge,0.09556687380866516,0.06893689004364804,0.44166666666666665,0.011681484355520595,0.12329184541353272,-0.8489505442131615
AACG,Huber,0.09509709526957486,0.06635324844962663,0.5283333333333333,0.010670904957774015,0.11262571813954558,-0.35320687522694105
AACG,RandomForest,0.09488746029353215,0.0670668007713566,0.4666666666666667,0.014627019178658055,0.1543803965789344,-0.13198516430652832
AACG,HistGradientBoosting,0.09850543432253175,0.06814319283425174,0.565,0.03222925364968017,0.34016260586712194,-3.9499282378796394
AACG,XGBoost,0.10080933024313199,0.06926679529985219,0.55,0.03199649654394978,0.3377059785905507,-6.38116279119157
AACG,LSTM(SmoothL1),0.09444694557411534,0.06558727442609741,0.5433333333333333,0.007380253663703938,0.0778946464443125,0.33287724441270916
AAL,Naive,0.059819140013267616,0.04595317077162487,0.0,0.0,0.0,0.0
AAL,Ridge,0.06507203674870499,0.05000779337884285,0.46785225718194257,0.011902995246839965,0.19898316511718808,-8.781297648666133
AAL,Huber,0.06144919793525308,0.047120122865098396,0.45964432284541723,0.008274508871755293,0.13832551647277475,-2.724977192289834
AAL,RandomForest,0.06078717483169182,0.04670600927075661,0.48700410396716826,0.00513771069453631,0.08588745221306117,-1.6182693669776884
AAL,HistGradientBoosting,0.06484528492214482,0.04978969023933831,0.4883720930232558,0.013135966906936596,0.2195948345615622,-8.402235317596391
AAL,XGBoost,0.06343974022606273,0.04862919352449876,0.4883720930232558,0.010436297362974677,0.17446427880748572,-6.052578174798374
AAL,LSTM(SmoothL1),0.06006630459689025,0.04624814984397794,0.4911080711354309,0.0018931287599278244,0.03164755969509635,-0.41318645431515305
AAME,Naive,0.1126288888124143,0.05845255874674255,0.0,0.0,0.0,0.0
AAME,Ridge,0.1117532737472562,0.058148390784807547,0.546731826511912,0.02453286904715243,0.21794436526231617,0.7774338132878609
AAME,Huber,0.1117000500988888,0.057677682666088984,0.5540623091020159,0.02383632643986081,0.21175644096644375,0.8246895830362879
AAME,RandomForest,0.11215445309740604,0.058262417006082146,0.5125229077580941,0.013024907760432131,0.1157102843940338,0.4212380322764602
AAME,HistGradientBoosting,0.11087563038480919,0.057542728026073256,0.5253512522907758,0.014362119545442278,0.12758976629014546,1.55666849428409
