fold,train_samples,test_samples,test_start,test_end,model_rmse,naive_rmse,dir_acc,pred_std_ratio,rmse_vs_naive_pct
1,3192,638,2012-10-10 00:00:00-04:00,2015-04-27 00:00:00-04:00,0.029260887520564573,0.029398734327099465,0.5267295597484277,0.1386710160805713,0.468886874520396
2,3830,638,2015-04-28 00:00:00-04:00,2017-11-03 00:00:00-04:00,0.02816999102405167,0.027930217980231223,0.5463108320251178,0.143581487573826,-0.8584717956378118
3,4468,638,2017-11-06 00:00:00-05:00,2020-05-20 00:00:00-04:00,0.03927996238711693,0.039302145861384766,0.565149136577708,0.11160002054426654,0.05644341748176937
4,5106,638,2020-05-21 00:00:00-04:00,2022-11-30 00:00:00-05:00,0.036847061871752816,0.037498821652566586,0.6128526645768025,0.1052857781206,1.7380806971814813
5,5744,641,2022-12-01 00:00:00-05:00,2025-06-24 00:00:00-04:00,0.03956169230851969,0.03882224006206941,0.47737909516380655,0.10879752141457166,-1.904712982218528
