train_feat_before_target_end,train_return_identity,train_no_nan,val_feat_before_target_end,val_return_identity,val_no_nan,test_feat_before_target_end,test_return_identity,test_no_nan,disjoint,horizon_ok,ticker,all_passed
True,True,True,True,True,True,True,True,True,True,True,AEHR,True
True,True,True,True,True,True,True,True,True,True,True,AEI,True
True,True,True,True,True,True,True,True,True,True,True,AEIS,True
True,True,True,True,True,True,True,True,True,True,True,AEM,True
True,True,True,True,True,True,True,True,True,True,True,AEMD,True
True,True,True,True,True,True,True,True,True,True,True,AENT,True
True,True,True,True,True,True,True,True,True,True,True,AEO,True
True,True,True,True,True,True,True,True,True,True,True,AEP,True
True,True,True,True,True,True,True,True,True,True,True,AER,True
True,True,True,True,True,True,True,True,True,True,True,AERT,True
True,True,True,True,True,True,True,True,True,True,True,AES,True
True,True,True,True,True,True,True,True,True,True,True,AEVA,True
True,True,True,True,True,True,True,True,True,True,True,AEYE,True
True,True,True,True,True,True,True,True,True,True,True,AFB,True
True,True,True,True,True,True,True,True,True,True,True,AFBI,True
True,True,True,True,True,True,True,True,True,True,True,AFCG,True
True,True,True,True,True,True,True,True,True,True,True,AFG,True
True,True,True,True,True,True,True,True,True,True,True,AFGB,True
True,True,True,True,True,True,True,True,True,True,True,AFGC,True
True,True,True,True,True,True,True,True,True,True,True,AFGD,True
True,True,True,True,True,True,True,True,True,True,True,AFGE,True
True,True,True,True,True,True,True,True,True,True,True,AFL,True
True,True,True,True,True,True,True,True,True,True,True,AFRI,True
True,True,True,True,True,True,True,True,True,True,True,AFRM,True
True,True,True,True,True,True,True,True,True,True,True,AFYA,True
True,True,True,True,True,True,True,True,True,True,True,AG,True
True,True,True,True,True,True,True,True,True,True,True,AGAE,True
True,True,True,True,True,True,True,True,True,True,True,AGCO,True
True,True,True,True,True,True,True,True,True,True,True,AGD,True
True,True,True,True,True,True,True,True,True,True,True,AGEN,True
True,True,True,True,True,True,True,True,True,True,True,AGFY,True
True,True,True,True,True,True,True,True,True,True,True,AGI,True
True,True,True,True,True,True,True,True,True,True,True,AGIO,True
True,True,True,True,True,True,True,True,True,True,True,AGL,True
True,True,True,True,True,True,True,True,True,True,True,AGM,True
True,True,True,True,True,True,True,True,True,True,True,AGMH,True
True,True,True,True,True,True,True,True,True,True,True,AGNC,True
True,True,True,True,True,True,True,True,True,True,True,AGNCM,True
True,True,True,True,True,True,True,True,True,True,True,AGNCN,True
True,True,True,True,True,True,True,True,True,True,True,AGNCO,True
